# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 367K of event 'cpu-clock:k'
# Event count (approx.): 91929000000
#
# Overhead  Command          Shared Object      Symbol                                       
# ........  ...............  .................  .............................................
#
     0.00%  kworker/3:2-mm_  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  arena_stress     [kernel.kallsyms]  [k] task_mm_cid_work
     0.00%  arena_stress     [kernel.kallsyms]  [k] up_write
     0.00%  kworker/3:2-mm_  [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  kworker/4:1H-kb  [kernel.kallsyms]  [k] iowrite16
     0.00%  kworker/5:1-eve  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  kworker/5:2-ata  [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  kworker/u32:0-e  [kernel.kallsyms]  [k] blk_mq_rq_ctx_init.isra.0
     0.00%  perf             [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  swapper          [kernel.kallsyms]  [k] sched_balance_update_blocked_averages
     0.00%  arena_stress     [kernel.kallsyms]  [k] common_nsleep
     0.00%  arena_stress     [kernel.kallsyms]  [k] sched_balance_find_src_group
     0.00%  arena_stress     [kernel.kallsyms]  [k] uncharge_batch
     0.00%  arena_stress     [kernel.kallsyms]  [k] 0x00007fffc0204c7a
     0.00%  jbd2/vda-8       [kernel.kallsyms]  [k] iowrite16
     0.00%  kworker/1:1-eve  [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  kworker/1:1-eve  [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  kworker/2:1H-kb  [kernel.kallsyms]  [k] iowrite16
     0.00%  kworker/u32:0-e  [kernel.kallsyms]  [k] memset_orig
     0.00%  perf             [kernel.kallsyms]  [k] copy_folio_from_iter_atomic
     0.00%  perf-exec        [kernel.kallsyms]  [k] mas_next_slot
     0.00%  swapper          [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  swapper          [kernel.kallsyms]  [k] default_idle_call
     0.00%  swapper          [kernel.kallsyms]  [k] rcu_core
     0.00%  swapper          [kernel.kallsyms]  [k] sched_balance_find_src_group
     0.00%  swapper          [kernel.kallsyms]  [k] sched_balance_rq
     0.00%  swapper          [kernel.kallsyms]  [k] tick_nohz_idle_got_tick
     0.00%  arena_stress     [kernel.kallsyms]  [k] __get_user_8
     0.00%  arena_stress     [kernel.kallsyms]  [k] blkcg_maybe_throttle_current
     0.00%  arena_stress     [kernel.kallsyms]  [k] do_nanosleep
     0.00%  arena_stress     [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.00%  arena_stress     [kernel.kallsyms]  [k] queue_work_on
     0.00%  arena_stress     [kernel.kallsyms]  [k] schedule
     0.00%  arena_stress     [kernel.kallsyms]  [k] should_flush_tlb
     0.00%  arena_stress     [kernel.kallsyms]  [k] 0x00007fffc0204c77
     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread_should_stop
     0.00%  ksoftirqd/6      [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  kworker/4:2-mm_  [kernel.kallsyms]  [k] __rcu_read_lock
     0.00%  kworker/5:1-eve  [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  kworker/5:1-eve  [kernel.kallsyms]  [k] vmstat_update
     0.00%  kworker/6:1-eve  [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  kworker/u32:0-e  [kernel.kallsyms]  [k] iowrite16
     0.00%  kworker/u32:4-w  [kernel.kallsyms]  [k] iowrite16
     0.00%  kworker/u32:4-w  [kernel.kallsyms]  [k] mb_set_bits
     0.00%  kworker/u32:4-w  [kernel.kallsyms]  [k] mpage_folio_done
     0.00%  perf             [kernel.kallsyms]  [k] __kmalloc_node_noprof
     0.00%  perf             [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  perf             [kernel.kallsyms]  [k] ext4_es_insert_delayed_extent
     0.00%  perf             [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  perf             [kernel.kallsyms]  [k] handle_softirqs
     0.00%  perf             [kernel.kallsyms]  [k] kmem_cache_alloc_noprof
     0.00%  perf             [kernel.kallsyms]  [k] put_dec
     0.00%  perf             [kernel.kallsyms]  [k] task_mm_cid_work
     0.00%  perf-exec        [kernel.kallsyms]  [k] x2apic_send_IPI
     0.00%  swapper          [kernel.kallsyms]  [k] _nohz_idle_balance.isra.0
     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
     0.00%  swapper          [kernel.kallsyms]  [k] update_group_capacity


#
# (Tip: Generate a script for your data: perf script -g <lang>)
#
